Timestamp,Prompt_Tokens,Completion_Tokens,Total_Tokens,Cost_USD
2026-05-29 17:29:04,862,54,916,0.000162
2026-06-02 15:39:31,559,59,618,0.000119
2026-06-02 15:40:29,1797,31,1828,0.000288
2026-06-02 15:41:38,2051,25,2076,0.000323
2026-06-02 15:42:15,2297,124,2421,0.000419
2026-06-02 15:42:31,2646,47,2693,0.000425
2026-06-02 15:45:58,3191,75,3266,0.000524
2026-06-02 15:47:15,3749,70,3819,0.000604
2026-06-02 15:56:48,1639,288,1927,0.000419
2026-06-02 15:57:47,2429,51,2480,0.000395
2026-06-02 15:58:33,3197,289,3486,0.000653
2026-06-02 16:00:02,4766,191,4957,0.00083
2026-06-02 16:01:43,5671,268,5939,0.001011
2026-06-02 16:03:17,6524,105,6629,0.001042
2026-06-02 16:04:05,7354,119,7473,0.001174
2026-06-02 16:04:49,8044,76,8120,0.001252
2026-06-02 16:07:48,8343,297,8640,0.00143
2026-06-05 13:46:02,917,321,1238,0.00033
2026-06-05 13:48:08,908,312,1220,0.000323
2026-06-05 13:55:01,22945,195,23140,0.003559
2026-06-05 14:21:59,235,39,274,5.9e-05
2026-06-05 14:22:10,758,30,788,0.000132
2026-06-05 14:22:37,1432,303,1735,0.000397
2026-06-05 14:26:30,1884,55,1939,0.000316
2026-06-05 14:26:42,2412,31,2443,0.00038
2026-06-05 14:27:07,3134,354,3488,0.000682
2026-06-05 14:29:54,3653,44,3697,0.000574
2026-06-05 14:30:12,4154,152,4306,0.000714
2026-06-05 14:31:11,4442,29,4471,0.000684
2026-06-05 14:31:21,4972,103,5075,0.000808
2026-06-05 14:32:56,5209,33,5242,0.000801
2026-06-05 14:33:06,5731,93,5824,0.000915
2026-06-05 14:33:50,5955,36,5991,0.000915
2026-06-05 14:33:59,6481,94,6575,0.001029
2026-06-05 14:35:51,6704,36,6740,0.001027
2026-06-05 14:36:02,7236,96,7332,0.001143
2026-06-05 14:41:10,260,36,296,6.1e-05
2026-06-07 14:56:16,244,29,273,5.4e-05
2026-06-07 14:57:08,1144,121,1265,0.000244
2026-06-07 14:57:47,2086,96,2182,0.000371
2026-06-07 14:58:07,2575,108,2683,0.000451
2026-06-07 14:58:33,3293,80,3373,0.000542
2026-06-07 14:59:14,4222,120,4342,0.000705
2026-06-07 14:59:41,4952,78,5030,0.00079
2026-06-07 15:00:13,5621,50,5671,0.000873
2026-06-07 15:01:49,6275,41,6316,0.000966
2026-06-07 15:02:46,6950,90,7040,0.001097
2026-06-07 15:03:07,7384,76,7460,0.001153
2026-06-07 15:03:23,7818,81,7899,0.001221
2026-06-08 15:39:48,931,37,968,0.000162
2026-06-08 15:43:09,1357,40,1397,0.000228
2026-06-08 15:43:31,1536,69,1605,0.000272
2026-06-08 16:05:29,876,89,965,0.000185
2026-06-08 16:12:34,873,98,971,0.00019
2026-06-08 16:13:37,1296,103,1399,0.000256
2026-06-08 16:27:09,647,51,698,0.000128
2026-06-08 16:27:48,1510,335,1845,0.000427
2026-06-08 16:28:40,2362,50,2412,0.000384
2026-06-08 16:34:34,2818,113,2931,0.000491
2026-06-08 16:39:04,697,61,758,0.000141
2026-06-08 16:40:27,1329,63,1392,0.000237
2026-06-08 16:41:57,2006,99,2105,0.00036
2026-06-08 16:46:32,2668,43,2711,0.000426
2026-06-08 16:53:10,3437,191,3628,0.00063
2026-06-08 16:55:08,4277,102,4379,0.000703
2026-06-08 16:55:31,4544,94,4638,0.000738
2026-06-09 15:09:51,8121,42,8163,0.001243
2026-07-01 13:19:44,799,130,929,0.000198
2026-07-01 13:21:05,1613,116,1729,0.000312
2026-07-01 14:09:53,628,24,652,0.000109
2026-07-01 14:10:32,1119,37,1156,0.00019
2026-07-02 13:36:26,1142,41,1183,0.000196
2026-07-02 13:38:25,1889,17,1906,0.000294
2026-07-02 13:44:38,2651,52,2703,0.000429
2026-07-02 13:45:11,3434,35,3469,0.000536
2026-07-02 13:47:51,4476,119,4595,$0.000743
2026-07-02 13:55:46,871,17,888,$0.000141
2026-07-02 13:56:14,1338,206,1544,$0.000324
2026-07-02 13:56:36,1749,32,1781,$0.000282
2026-07-02 13:57:31,2491,19,2510,$0.000385
2026-07-02 13:58:42,2970,20,2990,$0.000458
2026-07-02 14:11:32,607,41,648,$0.000116
2026-07-02 14:12:13,1084,86,1170,$0.000214
2026-07-02 14:14:17,674,70,744,$0.000143
2026-07-02 14:14:43,1225,40,1265,$0.000208
2026-07-02 14:15:01,1483,32,1515,$0.000242
2026-07-02 14:30:39,822,15,837,$0.000132
2026-07-02 14:31:07,1285,36,1321,$0.000214
2026-07-02 14:32:01,1519,138,1657,$0.000311
2026-07-02 14:33:17,2108,199,2307,$0.000436
2026-07-02 14:33:54,2748,34,2782,$0.000433
2026-07-02 14:42:34,551,21,572,$0.000095
2026-07-02 14:44:13,1052,38,1090,$0.000181
2026-07-02 14:45:36,1585,52,1637,$0.000269
2026-07-02 14:46:37,2066,15,2081,$0.000319
2026-07-03 13:21:32,567,29,596,$0.000102
2026-07-03 13:26:55,590,17,607,$0.000099
2026-07-03 13:28:22,1262,209,1471,$0.000315
2026-07-03 13:29:03,1935,40,1975,$0.000314
2026-07-03 13:29:47,2421,16,2437,$0.000373
